signal_date,available_date,MLP
2024-11-13,2024-11-14,-0.337890625
2024-11-14,2024-11-15,-0.51953125
2024-11-15,2024-11-18,-0.396484375
2024-11-18,2024-11-19,-0.31640625
2024-11-19,2024-11-20,-0.4765625
2024-11-20,2024-11-21,-0.40234375
2024-11-21,2024-11-22,-0.6953125
2024-11-22,2024-11-25,-0.45703125
2024-11-25,2024-11-26,-0.318359375
2024-11-26,2024-11-27,-0.671875
2024-11-27,2024-11-28,-0.5859375
2024-11-28,2024-11-29,-0.55859375
2024-11-29,2024-12-02,-0.734375
2024-12-02,2024-12-03,-0.78125
2024-12-03,2024-12-04,-0.6640625
2024-12-04,2024-12-05,-0.400390625
2024-12-05,2024-12-06,-0.4375
2024-12-06,2024-12-09,-0.345703125
2024-12-09,2024-12-10,-0.28125
2024-12-10,2024-12-11,-0.1611328125
2024-12-11,2024-12-12,-0.203125
2024-12-12,2024-12-13,-0.359375
2024-12-13,2024-12-16,-0.259765625
2024-12-16,2024-12-17,-0.6015625
2024-12-17,2024-12-18,-0.6953125
2024-12-18,2024-12-19,-0.4453125
2024-12-19,2024-12-20,-0.431640625
2024-12-20,2024-12-23,-0.462890625
2024-12-23,2024-12-24,-0.326171875
2024-12-24,2024-12-25,-0.482421875
2024-12-25,2024-12-26,-0.486328125
2024-12-26,2024-12-27,-0.115234375
2024-12-27,2024-12-30,-0.2080078125
2024-12-30,2024-12-31,-0.326171875
2024-12-31,2025-01-02,-0.30078125
2025-01-02,2025-01-03,-0.1796875
2025-01-03,2025-01-06,-0.1884765625
2025-01-06,2025-01-07,-0.1669921875
2025-01-07,2025-01-08,0.296875
2025-01-08,2025-01-09,0.00775146484375
2025-01-09,2025-01-10,0.3671875
2025-01-10,2025-01-13,0.2158203125
2025-01-13,2025-01-14,-0.279296875
2025-01-14,2025-01-15,-0.18359375
2025-01-15,2025-01-16,0.036376953125
2025-01-16,2025-01-17,-0.12158203125
2025-01-17,2025-01-20,-0.0859375
2025-01-20,2025-01-21,-0.1796875
2025-01-21,2025-01-22,-0.10009765625
2025-01-22,2025-01-23,-0.51171875
2025-01-23,2025-01-24,0.013427734375
2025-01-24,2025-01-27,0.1484375
2025-01-27,2025-02-05,0.2099609375
2025-02-05,2025-02-06,0.047119140625
2025-02-06,2025-02-07,0.038818359375
2025-02-07,2025-02-10,-0.0654296875
2025-02-10,2025-02-11,-0.11328125
2025-02-11,2025-02-12,0.0281982421875
2025-02-12,2025-02-13,0.09228515625
2025-02-13,2025-02-14,0.04150390625
2025-02-14,2025-02-17,-0.185546875
2025-02-17,2025-02-18,-0.42578125
2025-02-18,2025-02-19,-0.314453125
2025-02-19,2025-02-20,-0.35546875
2025-02-20,2025-02-21,-0.1904296875
2025-02-21,2025-02-24,-0.435546875
2025-02-24,2025-02-25,-0.259765625
2025-02-25,2025-02-26,-0.255859375
2025-02-26,2025-02-27,-0.376953125
2025-02-27,2025-02-28,-0.2041015625
2025-02-28,2025-03-03,-0.119140625
2025-03-03,2025-03-04,-0.267578125
2025-03-04,2025-03-05,-0.5
2025-03-05,2025-03-06,-0.46875
2025-03-06,2025-03-07,-0.462890625
2025-03-07,2025-03-10,-0.12255859375
2025-03-10,2025-03-11,-0.1337890625
2025-03-11,2025-03-12,-0.396484375
2025-03-12,2025-03-13,-0.60546875
2025-03-13,2025-03-14,-0.6015625
2025-03-14,2025-03-17,-0.625
2025-03-17,2025-03-18,-0.5078125
2025-03-18,2025-03-19,-0.48828125
2025-03-19,2025-03-20,-0.09033203125
2025-03-20,2025-03-21,0.0194091796875
2025-03-21,2025-03-24,-0.06396484375
2025-03-24,2025-03-25,-0.10986328125
2025-03-25,2025-03-26,-0.000926971435546875
2025-03-26,2025-03-27,-0.263671875
2025-03-27,2025-03-28,-0.01409912109375
2025-03-28,2025-03-31,-0.02587890625
2025-03-31,2025-04-01,-0.26953125
2025-04-01,2025-04-02,-0.36328125
2025-04-02,2025-04-03,-0.1767578125
2025-04-03,2025-04-07,0.2412109375
2025-04-07,2025-04-08,0.28125
2025-04-08,2025-04-09,0.267578125
2025-04-09,2025-04-10,0.5703125
2025-04-10,2025-04-11,0.4375
2025-04-11,2025-04-14,0.2060546875
2025-04-14,2025-04-15,-0.040283203125
2025-04-15,2025-04-16,0.451171875
2025-04-16,2025-04-17,0.2734375
2025-04-17,2025-04-18,0.2490234375
2025-04-18,2025-04-21,0.283203125
2025-04-21,2025-04-22,0.10009765625
2025-04-22,2025-04-23,-0.275390625
2025-04-23,2025-04-24,0.046875
2025-04-24,2025-04-25,0.490234375
2025-04-25,2025-04-28,0.06982421875
2025-04-28,2025-04-29,0.2099609375
2025-04-29,2025-04-30,0.267578125
2025-04-30,2025-05-06,-0.0419921875
2025-05-06,2025-05-07,0.008544921875
2025-05-07,2025-05-08,-0.016845703125
2025-05-08,2025-05-09,0.12255859375
2025-05-09,2025-05-12,0.12109375
2025-05-12,2025-05-13,0.08203125
2025-05-13,2025-05-14,0.2255859375
2025-05-14,2025-05-15,0.173828125
2025-05-15,2025-05-16,0.390625
2025-05-16,2025-05-19,0.33984375
2025-05-19,2025-05-20,0.20703125
2025-05-20,2025-05-21,0.291015625
2025-05-21,2025-05-22,0.041015625
2025-05-22,2025-05-23,0.57421875
2025-05-23,2025-05-26,0.37109375
2025-05-26,2025-05-27,0.07666015625
2025-05-27,2025-05-28,0.251953125
2025-05-28,2025-05-29,0.34765625
2025-05-29,2025-05-30,0.2451171875
2025-05-30,2025-06-03,0.205078125
2025-06-03,2025-06-04,0.27734375
2025-06-04,2025-06-05,0.50390625
2025-06-05,2025-06-06,0.43359375
2025-06-06,2025-06-09,0.29296875
2025-06-09,2025-06-10,0.30859375
2025-06-10,2025-06-11,0.2734375
2025-06-11,2025-06-12,0.4375
2025-06-12,2025-06-13,0.53125
2025-06-13,2025-06-16,0.54296875
2025-06-16,2025-06-17,0.3359375
2025-06-17,2025-06-18,0.2236328125
2025-06-18,2025-06-19,0.004730224609375
2025-06-19,2025-06-20,-0.00060272216796875
2025-06-20,2025-06-23,-0.302734375
2025-06-23,2025-06-24,-0.255859375
2025-06-24,2025-06-25,-0.220703125
2025-06-25,2025-06-26,0.07470703125
2025-06-26,2025-06-27,-0.0072021484375
2025-06-27,2025-06-30,-0.57421875
2025-06-30,2025-07-01,-0.5234375
2025-07-01,2025-07-02,-0.30078125
2025-07-02,2025-07-03,0.12158203125
2025-07-03,2025-07-04,-0.06005859375
2025-07-04,2025-07-07,-0.0751953125
2025-07-07,2025-07-08,-0.03076171875
2025-07-08,2025-07-09,-0.54296875
2025-07-09,2025-07-10,-0.02490234375
2025-07-10,2025-07-11,-0.08837890625
2025-07-11,2025-07-14,0.01806640625
2025-07-14,2025-07-15,-0.1669921875
2025-07-15,2025-07-16,-0.048828125
2025-07-16,2025-07-17,-0.0791015625
2025-07-17,2025-07-18,-0.1396484375
2025-07-18,2025-07-21,-0.328125
2025-07-21,2025-07-22,-0.66015625
2025-07-22,2025-07-23,-0.59765625
2025-07-23,2025-07-24,-0.69140625
2025-07-24,2025-07-25,-0.55078125
2025-07-25,2025-07-28,-0.54296875
2025-07-28,2025-07-29,-0.48046875
2025-07-29,2025-07-30,-0.45703125
2025-07-30,2025-07-31,-0.3984375
2025-07-31,2025-08-01,-0.27734375
2025-08-01,2025-08-04,0.01483154296875
2025-08-04,2025-08-05,-0.310546875
2025-08-05,2025-08-06,-0.08349609375
2025-08-06,2025-08-07,-0.255859375
2025-08-07,2025-08-08,-0.28125
2025-08-08,2025-08-11,-0.4921875
2025-08-11,2025-08-12,-0.6875
2025-08-12,2025-08-13,-0.043701171875
2025-08-13,2025-08-14,-0.82421875
2025-08-14,2025-08-15,-0.0242919921875
2025-08-15,2025-08-18,-0.62890625
2025-08-18,2025-08-19,-0.98046875
2025-08-19,2025-08-20,-0.94140625
2025-08-20,2025-08-21,-0.73046875
2025-08-21,2025-08-22,-1.03125
2025-08-22,2025-08-25,-0.8671875
2025-08-25,2025-08-26,-0.859375
2025-08-26,2025-08-27,-0.65234375
2025-08-27,2025-08-28,-0.51953125
2025-08-28,2025-08-29,-0.314453125
2025-08-29,2025-09-01,-0.5078125
2025-09-01,2025-09-02,-0.265625
2025-09-02,2025-09-03,-0.1748046875
2025-09-03,2025-09-04,-0.2099609375
2025-09-04,2025-09-05,-0.11474609375
2025-09-05,2025-09-08,-0.1298828125
2025-09-08,2025-09-09,-0.19921875
2025-09-09,2025-09-10,-0.26171875
2025-09-10,2025-09-11,-0.2734375
2025-09-11,2025-09-12,-0.29296875
2025-09-12,2025-09-15,-0.2216796875
2025-09-15,2025-09-16,-0.2490234375
2025-09-16,2025-09-17,-0.216796875
2025-09-17,2025-09-18,-0.12158203125
2025-09-18,2025-09-19,-0.1298828125
2025-09-19,2025-09-22,-0.04931640625
2025-09-22,2025-09-23,-0.043212890625
2025-09-23,2025-09-24,0.00531005859375
2025-09-24,2025-09-25,-0.017333984375
2025-09-25,2025-09-26,-8.106231689453125e-05
2025-09-26,2025-09-29,0.0625
2025-09-29,2025-09-30,-0.0224609375
2025-09-30,2025-10-09,-0.0234375
2025-10-09,2025-10-10,-0.263671875
2025-10-10,2025-10-13,-0.035888671875
2025-10-13,2025-10-14,0.0036773681640625
2025-10-14,2025-10-15,0.138671875
2025-10-15,2025-10-16,0.0341796875
2025-10-16,2025-10-17,-0.10205078125
2025-10-17,2025-10-20,-0.07763671875
2025-10-20,2025-10-21,-0.0546875
2025-10-21,2025-10-22,-0.220703125
2025-10-22,2025-10-23,-0.1708984375
2025-10-23,2025-10-24,-0.00077056884765625
2025-10-24,2025-10-27,-0.220703125
2025-10-27,2025-10-28,-0.29296875
2025-10-28,2025-10-29,-0.126953125
2025-10-29,2025-10-30,-0.07568359375
2025-10-30,2025-10-31,-0.09912109375
2025-10-31,2025-11-03,0.0240478515625
2025-11-03,2025-11-04,0.033447265625
2025-11-04,2025-11-05,-0.11328125
2025-11-05,2025-11-06,-0.10498046875
2025-11-06,2025-11-07,-0.375
2025-11-07,2025-11-10,-0.3828125
2025-11-10,2025-11-11,-0.390625
2025-11-11,2025-11-12,-0.6171875
2025-11-12,2025-11-13,-0.3671875
2025-11-13,2025-11-14,-0.68359375
2025-11-14,2025-11-17,-0.466796875
2025-11-17,2025-11-18,-0.09423828125
2025-11-18,2025-11-19,-0.0546875
2025-11-19,2025-11-20,-0.04296875
2025-11-20,2025-11-21,-0.052490234375
2025-11-21,2025-11-24,-0.0849609375
2025-11-24,2025-11-25,-0.041015625
2025-11-25,2025-11-26,-0.0108642578125
2025-11-26,2025-11-27,-0.0174560546875
2025-11-27,2025-11-28,0.054931640625
2025-11-28,2025-12-01,0.1904296875
2025-12-01,2025-12-02,0.015380859375
2025-12-02,2025-12-03,0.07080078125
2025-12-03,2025-12-04,0.037109375
2025-12-04,2025-12-05,0.00592041015625
2025-12-05,2025-12-08,0.0625
2025-12-08,2025-12-09,0.0142822265625
2025-12-09,2025-12-10,-0.004486083984375
2025-12-10,2025-12-11,0.11865234375
2025-12-11,2025-12-12,0.2001953125
2025-12-12,2025-12-15,0.197265625
2025-12-15,2025-12-16,0.2294921875
2025-12-16,2025-12-17,0.095703125
2025-12-17,2025-12-18,0.00958251953125
2025-12-18,2025-12-19,-0.07275390625
2025-12-19,2025-12-22,0.0244140625
2025-12-22,2025-12-23,-0.205078125
2025-12-23,2025-12-24,-0.2255859375
2025-12-24,2025-12-25,-0.2001953125
2025-12-25,2025-12-26,-0.040771484375
2025-12-26,2025-12-29,-0.228515625
2025-12-29,2025-12-30,-0.197265625
2025-12-30,2025-12-31,-0.00732421875
2025-12-31,2026-01-05,0.04443359375
2026-01-05,2026-01-06,0.359375
2026-01-06,2026-01-07,0.05517578125
2026-01-07,2026-01-08,0.19140625
2026-01-08,2026-01-09,0.10693359375
2026-01-09,2026-01-12,-0.02001953125
2026-01-12,2026-01-13,-0.1220703125
2026-01-13,2026-01-14,0.052734375
2026-01-14,2026-01-15,0.032958984375
2026-01-15,2026-01-16,-0.0166015625
2026-01-16,2026-01-19,0.023681640625
2026-01-19,2026-01-20,-0.314453125
2026-01-20,2026-01-21,-0.369140625
2026-01-21,2026-01-22,-0.208984375
2026-01-22,2026-01-23,-0.40625
2026-01-23,2026-01-26,-0.421875
2026-01-26,2026-01-27,-0.388671875
2026-01-27,2026-01-28,-0.3828125
2026-01-28,2026-01-29,-0.314453125
2026-01-29,2026-01-30,-0.1376953125
2026-01-30,2026-02-02,-0.306640625
2026-02-02,2026-02-03,-0.0615234375
2026-02-03,2026-02-04,-0.12890625
2026-02-04,2026-02-05,-0.259765625
2026-02-05,2026-02-06,0.006500244140625
2026-02-06,2026-02-09,-0.10009765625
2026-02-09,2026-02-10,-0.12890625
2026-02-10,2026-02-11,-0.052734375
2026-02-11,2026-02-12,-0.10888671875
2026-02-12,2026-02-13,-0.419921875
2026-02-13,2026-02-24,-0.423828125
2026-02-24,2026-02-25,-0.498046875
2026-02-25,2026-02-26,-0.400390625
2026-02-26,2026-02-27,-0.138671875
2026-02-27,2026-03-02,-0.08251953125
2026-03-02,2026-03-03,0.322265625
2026-03-03,2026-03-04,0.275390625
2026-03-04,2026-03-05,0.23828125
2026-03-05,2026-03-06,0.228515625
2026-03-06,2026-03-09,0.216796875
2026-03-09,2026-03-10,0.0703125
2026-03-10,2026-03-11,0.2470703125
2026-03-11,2026-03-12,0.0380859375
2026-03-12,2026-03-13,0.019775390625
2026-03-13,2026-03-16,-0.0390625
2026-03-16,2026-03-17,-0.16015625
2026-03-17,2026-03-18,-0.022216796875
2026-03-18,2026-03-19,-0.10107421875
2026-03-19,2026-03-20,-0.298828125
2026-03-20,2026-03-23,-0.232421875
2026-03-23,2026-03-24,-0.1884765625
2026-03-24,2026-03-25,-0.1474609375
2026-03-25,2026-03-26,-0.11767578125
2026-03-26,2026-03-27,-0.16796875
2026-03-27,2026-03-30,-0.50390625
2026-03-30,2026-03-31,-0.53515625
2026-03-31,2026-04-01,-0.2392578125
2026-04-01,2026-04-02,-0.36328125
2026-04-02,2026-04-03,-0.0245361328125
2026-04-03,2026-04-07,-0.1767578125
2026-04-07,2026-04-08,-0.34765625
2026-04-08,2026-04-09,-0.322265625
2026-04-09,2026-04-10,-0.384765625
2026-04-10,2026-04-13,-0.263671875
2026-04-13,2026-04-14,-0.37890625
2026-04-14,2026-04-15,-0.2236328125
2026-04-15,2026-04-16,-0.044921875
2026-04-16,2026-04-17,0.0634765625
2026-04-17,2026-04-20,-0.126953125
2026-04-20,2026-04-21,-0.0213623046875
2026-04-21,2026-04-22,-0.40234375
2026-04-22,2026-04-23,-0.3125
2026-04-23,2026-04-24,-0.06201171875
2026-04-24,2026-04-27,-0.09228515625
2026-04-27,2026-04-28,-0.298828125
2026-04-28,2026-04-29,-0.08740234375
2026-04-29,2026-04-30,-0.208984375
2026-04-30,2026-05-06,-0.1484375
2026-05-06,2026-05-07,-0.00921630859375
2026-05-07,2026-05-08,-0.275390625
2026-05-08,2026-05-11,-0.1953125
2026-05-11,2026-05-12,-0.2060546875
2026-05-12,2026-05-13,-0.322265625
2026-05-13,2026-05-14,-0.21875
2026-05-14,2026-05-15,-0.026123046875
2026-05-15,2026-05-18,0.2333984375
2026-05-18,2026-05-19,-0.25
2026-05-19,2026-05-20,-0.07568359375
2026-05-20,2026-05-21,-0.099609375
2026-05-21,2026-05-22,-0.373046875
2026-05-22,2026-05-25,-0.478515625
2026-05-25,2026-05-26,-0.3203125
2026-05-26,2026-05-27,-0.259765625
2026-05-27,2026-05-28,-0.23046875
2026-05-28,2026-05-29,-0.00933837890625
2026-05-29,2026-06-01,-0.11669921875
2026-06-01,2026-06-02,-0.2333984375
2026-06-02,2026-06-03,-0.396484375
2026-06-03,2026-06-04,-0.34375
2026-06-04,2026-06-05,-0.11181640625
2026-06-05,2026-06-08,0.380859375
2026-06-08,2026-06-09,0.314453125
2026-06-09,2026-06-10,0.296875
2026-06-10,2026-06-11,0.154296875
2026-06-11,2026-06-12,-0.033203125
2026-06-12,2026-06-15,-0.2265625
2026-06-15,2026-06-16,-0.12158203125
2026-06-16,2026-06-17,-0.08837890625
2026-06-17,2026-06-18,-0.10888671875
2026-06-18,2026-06-22,-0.482421875
2026-06-22,2026-06-23,-0.2265625
2026-06-23,2026-06-24,-0.208984375
2026-06-24,2026-06-25,0.06494140625
2026-06-25,2026-06-26,-0.1982421875
2026-06-26,2026-06-29,-0.14453125
2026-06-29,2026-06-30,0.1572265625
2026-06-30,2026-07-01,0.142578125
2026-07-01,2026-07-02,0.287109375
2026-07-02,2026-07-03,0.1748046875
2026-07-03,2026-07-06,0.10205078125
2026-07-06,2026-07-07,0.1748046875
2026-07-07,2026-07-08,0.2890625
2026-07-08,2026-07-09,0.310546875
2026-07-09,2026-07-10,-0.1572265625
2026-07-10,2026-07-13,0.20703125
2026-07-13,2026-07-14,0.298828125
2026-07-14,2026-07-15,0.015625
2026-07-15,2026-07-16,0.1259765625
2026-07-16,2026-07-17,0.0150146484375
2026-07-17,2026-07-20,0.318359375
2026-07-20,2026-07-21,0.50390625
2026-07-21,2026-07-22,0.30859375
2026-07-22,2026-07-23,0.171875
