signal_date,available_date,LightGBM
2021-06-30,2021-07-01,0.06801509499027963
2021-07-01,2021-07-02,0.04365672774556894
2021-07-02,2021-07-05,0.024442519980972677
2021-07-05,2021-07-06,0.04365672774556894
2021-07-06,2021-07-07,0.03607791550795396
2021-07-07,2021-07-08,0.03607791550795396
2021-07-08,2021-07-09,0.03607791550795396
2021-07-09,2021-07-12,0.03607791550795396
2021-07-12,2021-07-13,0.03607791550795396
2021-07-13,2021-07-14,0.03607791550795396
2021-07-14,2021-07-15,0.03607791550795396
2021-07-15,2021-07-16,0.023762327355405052
2021-07-16,2021-07-19,0.04398605716775485
2021-07-19,2021-07-20,0.039277347036536174
2021-07-20,2021-07-21,0.039277347036536174
2021-07-21,2021-07-22,0.039277347036536174
2021-07-22,2021-07-23,0.039277347036536174
2021-07-23,2021-07-26,0.023762327355405052
2021-07-26,2021-07-27,0.039277347036536174
2021-07-27,2021-07-28,0.02630096537395471
2021-07-28,2021-07-29,-0.0003793881418903052
2021-07-29,2021-07-30,0.010305792486358496
2021-07-30,2021-08-02,0.010305792486358496
2021-08-02,2021-08-03,0.006393366716656805
2021-08-03,2021-08-04,0.006393366716656805
2021-08-04,2021-08-05,0.006393366716656805
2021-08-05,2021-08-06,0.006393366716656805
2021-08-06,2021-08-09,0.006393366716656805
2021-08-09,2021-08-10,0.006393366716656805
2021-08-10,2021-08-11,0.006393366716656805
2021-08-11,2021-08-12,0.006393366716656805
2021-08-12,2021-08-13,0.006393366716656805
2021-08-13,2021-08-16,0.006393366716656805
2021-08-16,2021-08-17,0.006393366716656805
2021-08-17,2021-08-18,0.006393366716656805
2021-08-18,2021-08-19,0.00572016148349158
2021-08-19,2021-08-20,0.006393366716656805
2021-08-20,2021-08-23,0.006393366716656805
2021-08-23,2021-08-24,0.006393366716656805
2021-08-24,2021-08-25,0.006393366716656805
2021-08-25,2021-08-26,0.01386817049693527
2021-08-26,2021-08-27,0.01386817049693527
2021-08-27,2021-08-30,0.0077824876035221
2021-08-30,2021-08-31,0.0077824876035221
2021-08-31,2021-09-01,0.0077824876035221
2021-09-01,2021-09-02,0.003774539072122156
2021-09-02,2021-09-03,0.003774539072122156
2021-09-03,2021-09-06,0.003774539072122156
2021-09-06,2021-09-07,0.003774539072122156
2021-09-07,2021-09-08,0.01372644947217418
2021-09-08,2021-09-09,0.01372644947217418
2021-09-09,2021-09-10,0.009094884968126516
2021-09-10,2021-09-13,0.009094884968126516
2021-09-13,2021-09-14,0.009094884968126516
2021-09-14,2021-09-15,0.010339035389380732
2021-09-15,2021-09-16,0.003774539072122156
2021-09-16,2021-09-17,0.003774539072122156
2021-09-17,2021-09-22,0.003774539072122156
2021-09-22,2021-09-23,0.009473828509965853
2021-09-23,2021-09-24,0.009473828509965853
2021-09-24,2021-09-27,0.009473828509965853
2021-09-27,2021-09-28,0.009473828509965853
2021-09-28,2021-09-29,0.001009573537885772
2021-09-29,2021-09-30,-0.004267544041884985
2021-09-30,2021-10-08,0.01627918378712107
2021-10-08,2021-10-11,0.013912725244174695
2021-10-11,2021-10-12,0.013912725244174695
2021-10-12,2021-10-13,0.013912725244174695
2021-10-13,2021-10-14,0.005699299327260756
2021-10-14,2021-10-15,0.013912725244174695
2021-10-15,2021-10-18,0.007086488200492532
2021-10-18,2021-10-19,0.007086488200492532
2021-10-19,2021-10-20,0.013912725244174695
2021-10-20,2021-10-21,0.013912725244174695
2021-10-21,2021-10-22,0.013912725244174695
2021-10-22,2021-10-25,0.013912725244174695
2021-10-25,2021-10-26,0.013912725244174695
2021-10-26,2021-10-27,0.013912725244174695
2021-10-27,2021-10-28,0.013912725244174695
2021-10-28,2021-10-29,0.013912725244174695
2021-10-29,2021-11-01,0.013912725244174695
2021-11-01,2021-11-02,0.013961118355883824
2021-11-02,2021-11-03,0.013961118355883824
2021-11-03,2021-11-04,0.013961118355883824
2021-11-04,2021-11-05,0.013961118355883824
2021-11-05,2021-11-08,0.013961118355883824
2021-11-08,2021-11-09,0.013961118355883824
2021-11-09,2021-11-10,0.013961118355883824
2021-11-10,2021-11-11,0.013961118355883824
2021-11-11,2021-11-12,0.013961118355883824
2021-11-12,2021-11-15,0.013961118355883824
2021-11-15,2021-11-16,0.013961118355883824
2021-11-16,2021-11-17,0.013961118355883824
2021-11-17,2021-11-18,0.013961118355883824
2021-11-18,2021-11-19,0.013961118355883824
2021-11-19,2021-11-22,0.013961118355883824
2021-11-22,2021-11-23,0.013961118355883824
2021-11-23,2021-11-24,0.013961118355883824
2021-11-24,2021-11-25,0.013961118355883824
2021-11-25,2021-11-26,0.013961118355883824
2021-11-26,2021-11-29,0.013961118355883824
2021-11-29,2021-11-30,0.013961118355883824
2021-11-30,2021-12-01,0.013961118355883824
2021-12-01,2021-12-02,0.013996231459068474
2021-12-02,2021-12-03,0.013996231459068474
2021-12-03,2021-12-06,0.013996231459068474
2021-12-06,2021-12-07,0.013996231459068474
2021-12-07,2021-12-08,0.013996231459068474
2021-12-08,2021-12-09,0.013996231459068474
2021-12-09,2021-12-10,0.013996231459068474
2021-12-10,2021-12-13,-0.005285152781078906
2021-12-13,2021-12-14,0.0067276722336877745
2021-12-14,2021-12-15,0.0067276722336877745
2021-12-15,2021-12-16,0.0067276722336877745
2021-12-16,2021-12-17,-0.000863028050245203
2021-12-17,2021-12-20,0.0067276722336877745
2021-12-20,2021-12-21,0.0067276722336877745
2021-12-21,2021-12-22,0.0067276722336877745
2021-12-22,2021-12-23,0.0067276722336877745
2021-12-23,2021-12-24,-0.000863028050245203
2021-12-24,2021-12-27,0.0067276722336877745
2021-12-27,2021-12-28,0.0067276722336877745
