signal_date,available_date,LightGBM
2020-01-02,2020-01-03,0.005068293105091623
2020-01-03,2020-01-06,0.002522261016020945
2020-01-06,2020-01-07,0.005068293105091623
2020-01-07,2020-01-08,0.005068293105091623
2020-01-08,2020-01-09,-0.008436393599370255
2020-01-09,2020-01-10,0.002136509407232687
2020-01-10,2020-01-13,0.002136509407232687
2020-01-13,2020-01-14,0.002522261016020945
2020-01-14,2020-01-15,0.007531871986300807
2020-01-15,2020-01-16,0.007531871986300807
2020-01-16,2020-01-17,0.007531871986300807
2020-01-17,2020-01-20,0.002136509407232687
2020-01-20,2020-01-21,0.005068293105091623
2020-01-21,2020-01-22,0.005068293105091623
2020-01-22,2020-01-23,0.005068293105091623
2020-01-23,2020-02-03,0.005068293105091623
2020-02-03,2020-02-04,0.0021822946859847304
2020-02-04,2020-02-05,-0.008335008694343324
2020-02-05,2020-02-06,-0.008335008694343324
2020-02-06,2020-02-07,0.0021822946859847304
2020-02-07,2020-02-10,0.008142091476720112
2020-02-10,2020-02-11,0.008142091476720112
2020-02-11,2020-02-12,0.008142091476720112
2020-02-12,2020-02-13,0.008142091476720112
2020-02-13,2020-02-14,0.008142091476720112
2020-02-14,2020-02-17,0.0021822946859847304
2020-02-17,2020-02-18,0.008142091476720112
2020-02-18,2020-02-19,0.008142091476720112
2020-02-19,2020-02-20,0.008142091476720112
2020-02-20,2020-02-21,0.008142091476720112
2020-02-21,2020-02-24,0.008142091476720112
2020-02-24,2020-02-25,0.0025032204000181744
2020-02-25,2020-02-26,0.0021822946859847304
2020-02-26,2020-02-27,0.008142091476720112
2020-02-27,2020-02-28,0.008142091476720112
2020-02-28,2020-03-02,0.008142091476720112
2020-03-02,2020-03-03,0.0007017528310495885
2020-03-03,2020-03-04,0.0051954117801966074
2020-03-04,2020-03-05,0.0051954117801966074
2020-03-05,2020-03-06,0.0051954117801966074
2020-03-06,2020-03-09,0.0051954117801966074
2020-03-09,2020-03-10,0.0051954117801966074
2020-03-10,2020-03-11,0.0051954117801966074
2020-03-11,2020-03-12,0.002664390830495618
2020-03-12,2020-03-13,0.0051954117801966074
2020-03-13,2020-03-16,0.0051954117801966074
2020-03-16,2020-03-17,0.0051954117801966074
2020-03-17,2020-03-18,0.0051954117801966074
2020-03-18,2020-03-19,0.0051954117801966074
2020-03-19,2020-03-20,0.0051954117801966074
2020-03-20,2020-03-23,0.002438463044406632
2020-03-23,2020-03-24,0.002438463044406632
2020-03-24,2020-03-25,0.002438463044406632
2020-03-25,2020-03-26,0.002438463044406632
2020-03-26,2020-03-27,0.002438463044406632
2020-03-27,2020-03-30,0.0051954117801966074
2020-03-30,2020-03-31,0.0051954117801966074
2020-03-31,2020-04-01,0.002438463044406632
2020-04-01,2020-04-02,0.002407378804893597
2020-04-02,2020-04-03,0.007102047435711313
2020-04-03,2020-04-07,0.007102047435711313
2020-04-07,2020-04-08,0.007102047435711313
2020-04-08,2020-04-09,0.002407378804893597
2020-04-09,2020-04-10,0.002407378804893597
2020-04-10,2020-04-13,0.002407378804893597
2020-04-13,2020-04-14,0.007102047435711313
2020-04-14,2020-04-15,0.002407378804893597
2020-04-15,2020-04-16,0.002407378804893597
2020-04-16,2020-04-17,0.002407378804893597
2020-04-17,2020-04-20,0.002407378804893597
2020-04-20,2020-04-21,0.002407378804893597
2020-04-21,2020-04-22,0.007102047435711313
2020-04-22,2020-04-23,0.002407378804893597
2020-04-23,2020-04-24,0.007102047435711313
2020-04-24,2020-04-27,0.007102047435711313
2020-04-27,2020-04-28,0.002407378804893597
2020-04-28,2020-04-29,0.002407378804893597
2020-04-29,2020-04-30,0.007102047435711313
2020-04-30,2020-05-06,0.007102047435711313
2020-05-06,2020-05-07,0.00383491232173808
2020-05-07,2020-05-08,0.00383491232173808
2020-05-08,2020-05-11,0.007622496184137253
2020-05-11,2020-05-12,0.007622496184137253
2020-05-12,2020-05-13,0.007622496184137253
2020-05-13,2020-05-14,0.007622496184137253
2020-05-14,2020-05-15,0.00383491232173808
2020-05-15,2020-05-18,0.00383491232173808
2020-05-18,2020-05-19,0.00383491232173808
2020-05-19,2020-05-20,0.00383491232173808
2020-05-20,2020-05-21,0.00383491232173808
2020-05-21,2020-05-22,0.00383491232173808
2020-05-22,2020-05-25,0.00383491232173808
2020-05-25,2020-05-26,0.00383491232173808
2020-05-26,2020-05-27,0.00383491232173808
2020-05-27,2020-05-28,0.00383491232173808
2020-05-28,2020-05-29,0.00383491232173808
2020-05-29,2020-06-01,0.00383491232173808
2020-06-01,2020-06-02,0.011086910259055237
2020-06-02,2020-06-03,0.011086910259055237
2020-06-03,2020-06-04,0.011086910259055237
2020-06-04,2020-06-05,0.011086910259055237
2020-06-05,2020-06-08,0.011086910259055237
2020-06-08,2020-06-09,0.011086910259055237
2020-06-09,2020-06-10,0.011086910259055237
2020-06-10,2020-06-11,0.007603438223757296
2020-06-11,2020-06-12,0.007603438223757296
2020-06-12,2020-06-15,0.011086910259055237
2020-06-15,2020-06-16,0.007603438223757296
2020-06-16,2020-06-17,0.007603438223757296
2020-06-17,2020-06-18,0.007603438223757296
2020-06-18,2020-06-19,0.007603438223757296
2020-06-19,2020-06-22,0.005335826670328239
