signal_date,available_date,LightGBM
2021-12-31,2022-01-04,0.0067276722336877745
2022-01-04,2022-01-05,0.007621579418760536
2022-01-05,2022-01-06,0.007443903541021065
2022-01-06,2022-01-07,0.007621579418760536
2022-01-07,2022-01-10,0.0032070826860666098
2022-01-10,2022-01-11,0.0032070826860666098
2022-01-11,2022-01-12,0.0032070826860666098
2022-01-12,2022-01-13,0.0032070826860666098
2022-01-13,2022-01-14,0.0137064737070567
2022-01-14,2022-01-17,0.0040450511313563624
2022-01-17,2022-01-18,0.0137064737070567
2022-01-18,2022-01-19,0.0040450511313563624
2022-01-19,2022-01-20,0.0040450511313563624
2022-01-20,2022-01-21,0.0032070826860666098
2022-01-21,2022-01-24,0.0032070826860666098
2022-01-24,2022-01-25,0.0040450511313563624
2022-01-25,2022-01-26,0.0040450511313563624
2022-01-26,2022-01-27,-0.004096450797881077
2022-01-27,2022-01-28,-0.004096450797881077
2022-01-28,2022-02-07,-0.004096450797881077
2022-02-07,2022-02-08,0.00022106105648691306
2022-02-08,2022-02-09,0.0016790448836035959
2022-02-09,2022-02-10,0.0016790448836035959
2022-02-10,2022-02-11,0.0016790448836035959
2022-02-11,2022-02-14,0.0016790448836035959
2022-02-14,2022-02-15,0.0016790448836035959
2022-02-15,2022-02-16,0.0036117336752106307
2022-02-16,2022-02-17,0.0036117336752106307
2022-02-17,2022-02-18,0.0036117336752106307
2022-02-18,2022-02-21,0.0036117336752106307
2022-02-21,2022-02-22,0.0036117336752106307
2022-02-22,2022-02-23,0.0036117336752106307
2022-02-23,2022-02-24,0.0036117336752106307
2022-02-24,2022-02-25,0.0016790448836035959
2022-02-25,2022-02-28,0.0036117336752106307
2022-02-28,2022-03-01,0.0036117336752106307
2022-03-01,2022-03-02,-0.004075188628807794
2022-03-02,2022-03-03,0.0017772405776712331
2022-03-03,2022-03-04,0.0017772405776712331
2022-03-04,2022-03-07,0.0017772405776712331
2022-03-07,2022-03-08,0.0017772405776712331
2022-03-08,2022-03-09,-0.005379351291383867
2022-03-09,2022-03-10,-0.005379351291383867
2022-03-10,2022-03-11,0.0017772405776712331
2022-03-11,2022-03-14,-0.005379351291383867
2022-03-14,2022-03-15,-0.005379351291383867
2022-03-15,2022-03-16,-0.005379351291383867
2022-03-16,2022-03-17,-0.005379351291383867
2022-03-17,2022-03-18,-0.005379351291383867
2022-03-18,2022-03-21,0.0017772405776712331
2022-03-21,2022-03-22,0.0017772405776712331
2022-03-22,2022-03-23,0.0017772405776712331
2022-03-23,2022-03-24,0.0017772405776712331
2022-03-24,2022-03-25,0.0017772405776712331
2022-03-25,2022-03-28,0.0017772405776712331
2022-03-28,2022-03-29,0.0017772405776712331
2022-03-29,2022-03-30,0.0017772405776712331
2022-03-30,2022-03-31,-0.005379351291383867
2022-03-31,2022-04-01,0.0017772405776712331
2022-04-01,2022-04-06,0.0014618470756518447
2022-04-06,2022-04-07,0.0014618470756518447
2022-04-07,2022-04-08,0.0014618470756518447
2022-04-08,2022-04-11,0.0014618470756518447
2022-04-11,2022-04-12,0.0014618470756518447
2022-04-12,2022-04-13,-0.005389904337687688
2022-04-13,2022-04-14,-0.005389904337687688
2022-04-14,2022-04-15,-0.005389904337687688
2022-04-15,2022-04-18,0.0014618470756518447
2022-04-18,2022-04-19,-0.005659154136384029
2022-04-19,2022-04-20,-0.005659154136384029
2022-04-20,2022-04-21,0.0014618470756518447
2022-04-21,2022-04-22,-0.005389904337687688
2022-04-22,2022-04-25,-0.005389904337687688
2022-04-25,2022-04-26,-0.005659154136384029
2022-04-26,2022-04-27,-0.005659154136384029
2022-04-27,2022-04-28,-0.005659154136384029
2022-04-28,2022-04-29,-0.005659154136384029
2022-04-29,2022-05-05,-0.005659154136384029
2022-05-05,2022-05-06,0.0014814996638938388
2022-05-06,2022-05-09,0.0014814996638938388
2022-05-09,2022-05-10,-0.0027855029460322374
2022-05-10,2022-05-11,-0.002820860806410446
2022-05-11,2022-05-12,0.0003048813530772635
2022-05-12,2022-05-13,0.0003048813530772635
2022-05-13,2022-05-16,0.0003048813530772635
2022-05-16,2022-05-17,-0.0027855029460322374
2022-05-17,2022-05-18,-0.0027855029460322374
2022-05-18,2022-05-19,-0.0027855029460322374
2022-05-19,2022-05-20,-0.013110695559845353
2022-05-20,2022-05-23,-0.0077666103175376205
2022-05-23,2022-05-24,0.0003048813530772635
2022-05-24,2022-05-25,0.0003048813530772635
2022-05-25,2022-05-26,-0.0077666103175376205
2022-05-26,2022-05-27,-0.0077666103175376205
2022-05-27,2022-05-30,-0.002820860806410446
2022-05-30,2022-05-31,-0.002820860806410446
2022-05-31,2022-06-01,-0.002820860806410446
2022-06-01,2022-06-02,-0.003997570898369226
2022-06-02,2022-06-06,0.008198548964347881
2022-06-06,2022-06-07,0.008198548964347881
2022-06-07,2022-06-08,-0.003997570898369226
2022-06-08,2022-06-09,-0.003997570898369226
2022-06-09,2022-06-10,-0.003997570898369226
2022-06-10,2022-06-13,-0.003997570898369226
2022-06-13,2022-06-14,-0.0014656693084296752
2022-06-14,2022-06-15,0.00880955266758426
2022-06-15,2022-06-16,0.00880955266758426
2022-06-16,2022-06-17,-0.003997570898369226
2022-06-17,2022-06-20,-0.005197759270799909
2022-06-20,2022-06-21,0.008198548964347881
2022-06-21,2022-06-22,0.008198548964347881
2022-06-22,2022-06-23,0.008198548964347881
2022-06-23,2022-06-24,0.0030610033981482623
2022-06-24,2022-06-27,0.008198548964347881
2022-06-27,2022-06-28,0.008198548964347881
2022-06-28,2022-06-29,0.008198548964347881
2022-06-29,2022-06-30,0.0030610033981482623
2022-06-30,2022-07-01,0.008198548964347881
2022-07-01,2022-07-04,0.008268942667547304
2022-07-04,2022-07-05,0.008268942667547304
2022-07-05,2022-07-06,0.008268942667547304
2022-07-06,2022-07-07,0.008268942667547304
2022-07-07,2022-07-08,0.008268942667547304
2022-07-08,2022-07-11,0.008268942667547304
2022-07-11,2022-07-12,0.0031905299063168997
2022-07-12,2022-07-13,0.0031905299063168997
2022-07-13,2022-07-14,0.008268942667547304
2022-07-14,2022-07-15,0.008268942667547304
2022-07-15,2022-07-18,0.008268942667547304
2022-07-18,2022-07-19,0.008268942667547304
2022-07-19,2022-07-20,0.0031905299063168997
2022-07-20,2022-07-21,0.0031905299063168997
2022-07-21,2022-07-22,0.0031905299063168997
2022-07-22,2022-07-25,0.0031905299063168997
2022-07-25,2022-07-26,0.0031905299063168997
2022-07-26,2022-07-27,0.0031905299063168997
2022-07-27,2022-07-28,0.0031905299063168997
2022-07-28,2022-07-29,0.0031905299063168997
2022-07-29,2022-08-01,0.0031905299063168997
2022-08-01,2022-08-02,0.006652001053003781
2022-08-02,2022-08-03,0.009161701815166796
2022-08-03,2022-08-04,-0.0006835437997672468
2022-08-04,2022-08-05,0.006652001053003781
2022-08-05,2022-08-08,0.006652001053003781
2022-08-08,2022-08-09,0.006652001053003781
2022-08-09,2022-08-10,0.004215635487274043
2022-08-10,2022-08-11,0.004215635487274043
2022-08-11,2022-08-12,0.006652001053003781
2022-08-12,2022-08-15,0.006652001053003781
2022-08-15,2022-08-16,-0.0032521052350719
2022-08-16,2022-08-17,0.004215635487274043
2022-08-17,2022-08-18,0.004215635487274043
2022-08-18,2022-08-19,0.004215635487274043
2022-08-19,2022-08-22,0.006652001053003781
2022-08-22,2022-08-23,0.006652001053003781
2022-08-23,2022-08-24,0.006652001053003781
2022-08-24,2022-08-25,0.006652001053003781
2022-08-25,2022-08-26,-0.0005870264647393941
2022-08-26,2022-08-29,-0.0005870264647393941
2022-08-29,2022-08-30,-0.005275912098794062
2022-08-30,2022-08-31,0.004215635487274043
2022-08-31,2022-09-01,0.006652001053003781
