signal_date,available_date,LightGBM
2021-12-31,2022-01-04,0.007761140390337996
2022-01-04,2022-01-05,0.007621579418760536
2022-01-05,2022-01-06,0.007621579418760536
2022-01-06,2022-01-07,0.0014583175868589518
2022-01-07,2022-01-10,0.0003693340801944594
2022-01-10,2022-01-11,0.0003693340801944594
2022-01-11,2022-01-12,0.007621579418760536
2022-01-12,2022-01-13,0.0014583175868589518
2022-01-13,2022-01-14,-0.004096450797881077
2022-01-14,2022-01-17,0.007443903541021065
2022-01-17,2022-01-18,0.007621579418760536
2022-01-18,2022-01-19,0.007621579418760536
2022-01-19,2022-01-20,0.0003693340801944594
2022-01-20,2022-01-21,-0.004096450797881077
2022-01-21,2022-01-24,-0.004096450797881077
2022-01-24,2022-01-25,0.0014583175868589518
2022-01-25,2022-01-26,0.0014583175868589518
2022-01-26,2022-01-27,0.0014583175868589518
2022-01-27,2022-01-28,0.0003693340801944594
2022-01-28,2022-02-07,0.0014583175868589518
2022-02-07,2022-02-08,0.006409633848842673
2022-02-08,2022-02-09,0.0036117336752106307
2022-02-09,2022-02-10,0.006409633848842673
2022-02-10,2022-02-11,0.0036117336752106307
2022-02-11,2022-02-14,0.0036117336752106307
2022-02-14,2022-02-15,0.00022106105648691306
2022-02-15,2022-02-16,0.006409633848842673
2022-02-16,2022-02-17,0.006409633848842673
2022-02-17,2022-02-18,0.006409633848842673
2022-02-18,2022-02-21,0.006409633848842673
2022-02-21,2022-02-22,0.006409633848842673
2022-02-22,2022-02-23,0.006409633848842673
2022-02-23,2022-02-24,-0.0008541440596819124
2022-02-24,2022-02-25,0.007274375695015284
2022-02-25,2022-02-28,0.01410645970120818
2022-02-28,2022-03-01,0.007274375695015284
2022-03-01,2022-03-02,0.0076847094723540765
2022-03-02,2022-03-03,0.0076847094723540765
2022-03-03,2022-03-04,0.0076847094723540765
2022-03-04,2022-03-07,0.0076847094723540765
2022-03-07,2022-03-08,0.0076847094723540765
2022-03-08,2022-03-09,0.0076847094723540765
2022-03-09,2022-03-10,0.0004020872901556345
2022-03-10,2022-03-11,0.0076847094723540765
2022-03-11,2022-03-14,0.014169416801603059
2022-03-14,2022-03-15,0.014169416801603059
2022-03-15,2022-03-16,0.0004020872901556345
2022-03-16,2022-03-17,0.0004020872901556345
2022-03-17,2022-03-18,0.014169416801603059
2022-03-18,2022-03-21,0.014169416801603059
2022-03-21,2022-03-22,0.014169416801603059
2022-03-22,2022-03-23,0.014169416801603059
2022-03-23,2022-03-24,0.014169416801603059
2022-03-24,2022-03-25,0.014169416801603059
2022-03-25,2022-03-28,0.014169416801603059
2022-03-28,2022-03-29,0.014169416801603059
2022-03-29,2022-03-30,0.014169416801603059
2022-03-30,2022-03-31,0.014169416801603059
2022-03-31,2022-04-01,0.003711443221356779
2022-04-01,2022-04-06,-0.005130326094160011
2022-04-06,2022-04-07,-0.005659154136384029
2022-04-07,2022-04-08,-0.005659154136384029
2022-04-08,2022-04-11,-0.005659154136384029
2022-04-11,2022-04-12,0.006552696309517464
2022-04-12,2022-04-13,-0.005389904337687688
2022-04-13,2022-04-14,-0.005389904337687688
2022-04-14,2022-04-15,-0.005389904337687688
2022-04-15,2022-04-18,-0.005659154136384029
2022-04-18,2022-04-19,-0.005389904337687688
2022-04-19,2022-04-20,-0.005389904337687688
2022-04-20,2022-04-21,-0.005389904337687688
2022-04-21,2022-04-22,-0.005389904337687688
2022-04-22,2022-04-25,0.00036535160168982804
2022-04-25,2022-04-26,0.00036535160168982804
2022-04-26,2022-04-27,-0.005389904337687688
2022-04-27,2022-04-28,-0.005389904337687688
2022-04-28,2022-04-29,-0.005389904337687688
2022-04-29,2022-05-05,-0.005389904337687688
2022-05-05,2022-05-06,-0.009853153620456499
2022-05-06,2022-05-09,-0.009853153620456499
2022-05-09,2022-05-10,-0.015539562649506768
2022-05-10,2022-05-11,-0.015539562649506768
2022-05-11,2022-05-12,-0.009853153620456499
2022-05-12,2022-05-13,-0.009853153620456499
2022-05-13,2022-05-16,-0.009853153620456499
2022-05-16,2022-05-17,-0.009853153620456499
2022-05-17,2022-05-18,-0.009853153620456499
2022-05-18,2022-05-19,-0.009853153620456499
2022-05-19,2022-05-20,-0.015539562649506768
2022-05-20,2022-05-23,-0.010597225579475934
2022-05-23,2022-05-24,-0.010597225579475934
2022-05-24,2022-05-25,-0.015539562649506768
2022-05-25,2022-05-26,0.012238667630990819
2022-05-26,2022-05-27,0.012238667630990819
2022-05-27,2022-05-30,0.018580684808096812
2022-05-30,2022-05-31,0.018580684808096812
2022-05-31,2022-06-01,0.018580684808096812
2022-06-01,2022-06-02,0.013984934597161052
2022-06-02,2022-06-06,0.013984934597161052
2022-06-06,2022-06-07,0.013984934597161052
2022-06-07,2022-06-08,0.013984934597161052
2022-06-08,2022-06-09,0.013984934597161052
2022-06-09,2022-06-10,0.00012448409591190278
2022-06-10,2022-06-13,0.00012448409591190278
2022-06-13,2022-06-14,0.013984934597161052
2022-06-14,2022-06-15,0.00012448409591190278
2022-06-15,2022-06-16,-0.005197759270799909
2022-06-16,2022-06-17,-0.0008192634197794063
2022-06-17,2022-06-20,-0.0008192634197794063
2022-06-20,2022-06-21,0.007671407422011807
2022-06-21,2022-06-22,0.007671407422011807
2022-06-22,2022-06-23,0.007671407422011807
2022-06-23,2022-06-24,0.007671407422011807
2022-06-24,2022-06-27,0.007671407422011807
2022-06-27,2022-06-28,0.007671407422011807
2022-06-28,2022-06-29,0.007671407422011807
2022-06-29,2022-06-30,0.007671407422011807
2022-06-30,2022-07-01,0.007671407422011807
2022-07-01,2022-07-04,0.007717971000603191
2022-07-04,2022-07-05,0.007717971000603191
2022-07-05,2022-07-06,0.007717971000603191
2022-07-06,2022-07-07,0.007717971000603191
2022-07-07,2022-07-08,0.007717971000603191
2022-07-08,2022-07-11,0.007717971000603191
2022-07-11,2022-07-12,0.007717971000603191
2022-07-12,2022-07-13,0.00015850538286175074
2022-07-13,2022-07-14,0.013933394533557127
2022-07-14,2022-07-15,0.013933394533557127
2022-07-15,2022-07-18,0.013933394533557127
2022-07-18,2022-07-19,0.013933394533557127
2022-07-19,2022-07-20,0.013933394533557127
2022-07-20,2022-07-21,0.013933394533557127
2022-07-21,2022-07-22,0.013933394533557127
2022-07-22,2022-07-25,0.00015850538286175074
2022-07-25,2022-07-26,0.013933394533557127
2022-07-26,2022-07-27,0.013933394533557127
2022-07-27,2022-07-28,0.013933394533557127
2022-07-28,2022-07-29,0.013933394533557127
2022-07-29,2022-08-01,0.013933394533557127
2022-08-01,2022-08-02,0.021965779715035175
2022-08-02,2022-08-03,0.021965779715035175
2022-08-03,2022-08-04,0.021965779715035175
2022-08-04,2022-08-05,0.021965779715035175
2022-08-05,2022-08-08,0.021965779715035175
2022-08-08,2022-08-09,0.021965779715035175
2022-08-09,2022-08-10,0.021965779715035175
2022-08-10,2022-08-11,0.021965779715035175
2022-08-11,2022-08-12,0.021965779715035175
2022-08-12,2022-08-15,0.021965779715035175
2022-08-15,2022-08-16,0.021965779715035175
2022-08-16,2022-08-17,0.021965779715035175
2022-08-17,2022-08-18,0.021965779715035175
2022-08-18,2022-08-19,0.021965779715035175
2022-08-19,2022-08-22,0.021965779715035175
2022-08-22,2022-08-23,0.021965779715035175
2022-08-23,2022-08-24,0.021965779715035175
2022-08-24,2022-08-25,-0.0006835437997672468
2022-08-25,2022-08-26,-0.0006835437997672468
2022-08-26,2022-08-29,-0.0006835437997672468
2022-08-29,2022-08-30,0.015067394048116562
2022-08-30,2022-08-31,-0.0006835437997672468
2022-08-31,2022-09-01,0.004262522528125506
2022-09-01,2022-09-02,0.02235340628856813
2022-09-02,2022-09-05,0.029515151988999788
2022-09-05,2022-09-06,0.034788169076005876
2022-09-06,2022-09-07,0.034788169076005876
2022-09-07,2022-09-08,0.034788169076005876
2022-09-08,2022-09-09,0.07482799617478149
2022-09-09,2022-09-13,0.07935509020311661
2022-09-13,2022-09-14,0.004190009461411515
2022-09-14,2022-09-15,-0.004950949612706784
2022-09-15,2022-09-16,-0.008401390059968226
2022-09-16,2022-09-19,-0.008401390059968226
2022-09-19,2022-09-20,-0.01353252853064674
2022-09-20,2022-09-21,0.006320513241067934
2022-09-21,2022-09-22,0.006320513241067934
2022-09-22,2022-09-23,0.006320513241067934
2022-09-23,2022-09-26,0.010417098953475718
2022-09-26,2022-09-27,0.05107009861922271
2022-09-27,2022-09-28,0.05107009861922271
2022-09-28,2022-09-29,0.04799784743308563
2022-09-29,2022-09-30,0.05584869933509316
2022-09-30,2022-10-10,0.05584869933509316
2022-10-10,2022-10-11,0.05234019590936106
